gene_id,Symbol,s4d.mecpM1,s4d.mecpM10,s4d.mecpM2,s4d.mecpM3,s4d.mecpM4,s4d.mecpM5,s4d.mecpM6,s4d.mecpM7,s4d.mecpM8,s4d.mecpM9,s4d.mecpW1,s4d.mecpW10,s4d.mecpW2,s4d.mecpW3,s4d.mecpW4,s4d.mecpW5,s4d.mecpW6,s4d.mecpW7,s4d.mecpW8,s4d.mecpW9
ENSDARG00000000380,pde6a,0.16004683525416907,-0.701743816114434,1.3134207897174122,-1.9263936891119229,0.808009731020036,0.36091533294158784,-0.8054178794369727,-1.997669607646168,-0.3000068207395965,-0.857254911098242,0.3933134777298812,1.1838282105642388,-0.05378092034856703,0.5617838306290066,0.3673949618992465,1.6438818665580044,0.7820912151894014,0.4257116225181745,-1.10996044044693,-0.24816978907832712
ENSDARG00000002193,rho,0.2085248597940884,-0.9033326837104354,0.6393954430955864,-1.610362689343414,0.24565553842689253,0.590919279324981,-0.998995751576896,-1.4889144279819506,-0.7594513040083193,-0.4049048934520299,0.02931776500381845,1.418623990514573,-0.39459081605402874,1.9998222518919375,0.7219080622795956,1.2948550617385592,0.7984900869597541,0.06490133202692241,-1.322342078004232,-0.12951902692539924
ENSDARG00000010454,guca1a,-1.5262705905929042,-0.5723514714723391,2.0986220620652434,-1.1447029429446782,1.7170544144170172,-0.5723514714723391,0.19078382382411305,-1.1447029429446782,0.19078382382411305,0.3815676476482261,-0.19078382382411305,0.19078382382411305,-0.5723514714723391,1.335486766768791,0.9539191191205652,-0.7631352952964521,0.5723514714723391,0.5723514714723391,-0.7631352952964521,-0.9539191191205652
ENSDARG00000012610,saga,0.08438359000461323,-0.7287052529548165,1.5329116127558662,-1.705778400376652,0.8564763568484415,0.5763365033918312,-0.3187444917988015,-1.780937873255255,-0.496394154966408,-0.28458109503580026,0.350858084756023,1.1024528135420504,-0.113764111220794,1.170779607068053,-0.27091573633059973,1.177612286420653,0.9589665471374452,0.2347025357618187,-1.7331091177870532,-0.6125497039606123
ENSDARG00000019902,rcvrn2,0.5828606069339863,0.3999056969213146,1.6715071991370467,-1.6852612562018296,1.2069833850623202,0.5906459222536745,-0.38251849270734495,-2.5948455960520627,0.09887350456003934,-0.4954055648428232,0.4284518530935046,0.09627839945347662,0.249389600740677,-0.00363314714918804,-0.48113248675672826,0.4557004567124131,0.7528399914138444,0.8903805620616685,-1.2687468865985132,-0.5122737480354809
ENSDARG00000025504,gucy2f,0.02127206917308463,-0.49373592133318106,1.3199878713193198,-1.9939765893296943,0.4019301491124984,0.6706299702462023,-0.605694180138891,-1.9939765893296943,-0.2922110554829032,-0.583302528377749,0.8497631843353382,1.20802961251361,0.20040528326222057,0.6482383184850603,-0.18025279667719327,1.3199878713193198,0.8721548360964801,0.08844702445651059,-1.5685352058679964,0.1108386762176526
ENSDARG00000037925,rgs9a,0.3837429112032353,-0.0651306775895397,1.633547805489001,-1.4733615443904025,1.431114618386377,0.5157645549658162,-0.6372244672273902,-2.4239173794809847,-0.20595376426962597,-0.6196215813923794,0.5949775412233648,0.3837429112032353,0.5421688837183324,0.23411838160564363,-0.2675638646921637,1.026248244181129,0.6565876416459024,0.44535301162577307,-1.2533254714527675,-0.901267754752552
ENSDARG00000041431,slc24a1,0.22525949427851263,-0.5631487356962817,0.9385812261604694,-1.314013716624657,-0.337889241417769,0.3003459923713502,-0.9010379771140506,-2.1775084446922888,-0.337889241417769,0.03754324904641877,0.03754324904641877,1.9522489504137763,-0.2628027433249314,1.163840720438982,0.5256054866498628,1.163840720438982,0.7884082299747943,0.675778482835538,-1.389100214717495,-0.5256054866498628
ENSDARG00000044199,gnat1,-0.04994424378282534,-0.6078120233947611,0.7755492949672689,-1.9409149832331936,0.9464277139475016,-0.01476339281630686,-0.8226665060831418,-2.0062508493138704,-0.5198598959784649,-0.7472789682977451,0.4827943565673116,1.1022286253706548,0.00282703266695237,0.8622449634204752,0.1799877464626347,1.7128676814323682,0.9300937474273322,0.7881138845981683,-1.0902922652213003,0.01664808126094178
ENSDARG00000055534,grk7b,-0.41984221374941955,-0.7672978389213531,2.7651676836599703,-1.0568441932312975,0.6804339326283696,0.04343195314649168,-0.13029585943947505,-1.5201183601272088,-1.1147534640932864,-0.7093885680593641,0.7962524743523475,0.8541617452143364,-0.24611440116345285,0.10134122400848058,-0.24611440116345285,0.9699802869383142,1.143708099524281,0.2750690365944473,-0.9410256515073198,-0.4777514846114085
ENSDARG00000068242,cngb1a,0.2658590483070753,-0.01399258148984597,2.02727812997005,-1.8906446871868472,0.9407953319349442,0.4798632357988386,-0.557233980507399,-1.709564220847663,-0.8206237497280308,-0.01399258148984597,0.03539300023902249,0.7267911444431809,0.1341641636967594,0.2164734665782068,-0.3596916535919252,1.039566495392681,1.006642774240102,0.4634013752225491,-1.775411663152821,-0.19507304782903032
